Время:0:00:00.122928, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.24 0.38 0.53 1/746 21014
Время:0:00:00.124919, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.24 0.38 0.53 1/746 21044
Время:0:00:00.009317, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.24 0.38 0.53 1/746 21048
Время:0:00:00.065699, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.24 0.38 0.53 1/746 21054
Время:0:00:00.124761, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.24 0.38 0.53 1/746 21082
Время:0:00:00.148312, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.24 0.38 0.53 1/746 21120
Время:0:00:00.007425, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.24 0.38 0.53 3/746 21124
Время:0:00:00.324109, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.24 0.38 0.53 1/746 21170
Время:0:00:00.010918, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.24 0.38 0.53 1/746 21176
Время:0:00:00.112989, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.24 0.38 0.53 3/746 21198
Время:0:00:00.109899, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.86 0.52 0.54 1/754 21330
Время:0:00:00.121551, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.86 0.52 0.54 2/754 21360
Время:0:00:00.009580, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.86 0.52 0.54 1/754 21364
Время:0:00:00.083102, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.86 0.52 0.54 1/754 21370
Время:0:00:00.121448, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.86 0.52 0.54 1/754 21398
Время:0:00:00.147125, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.86 0.52 0.54 1/754 21436
Время:0:00:00.007648, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.86 0.52 0.54 1/754 21440
Время:0:00:00.311589, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.86 0.52 0.54 1/754 21486
Время:0:00:00.010036, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.86 0.52 0.54 1/754 21492
Время:0:00:00.102513, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.86 0.52 0.54 1/754 21514
Время:0:00:00.111453, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.48 0.47 0.51 1/748 21559
Время:0:00:00.118069, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.48 0.47 0.51 1/748 21589
Время:0:00:00.013707, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.48 0.47 0.51 1/748 21593
Время:0:00:00.075698, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.48 0.47 0.51 1/748 21599
Время:0:00:00.118427, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.48 0.47 0.51 1/747 21627
Время:0:00:00.153510, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.48 0.47 0.51 1/747 21665
Время:0:00:00.007126, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.48 0.47 0.51 3/747 21669
Время:0:00:00.303540, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.48 0.47 0.51 1/747 21715
Время:0:00:00.010385, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.48 0.47 0.51 1/747 21721
Время:0:00:00.106369, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.48 0.47 0.51 1/747 21743
Время:0:00:00.100551, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.70 0.57 0.52 1/760 22293
Время:0:00:00.128740, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.70 0.57 0.52 1/760 22323
Время:0:00:00.010657, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.70 0.57 0.52 1/760 22327
Время:0:00:00.066345, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.70 0.57 0.52 6/760 22333
Время:0:00:00.126940, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.70 0.57 0.52 1/760 22361
Время:0:00:00.153073, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.70 0.57 0.52 1/760 22399
Время:0:00:00.008734, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.70 0.57 0.52 1/760 22403
Время:0:00:00.308579, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.70 0.57 0.52 1/760 22449
Время:0:00:00.010348, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.70 0.57 0.52 3/760 22455
Время:0:00:00.108128, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.70 0.57 0.52 1/760 22477
Время:0:00:00.097912, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.64 0.76 0.58 1/856 22952
Время:0:00:00.125105, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.64 0.76 0.58 1/856 22982
Время:0:00:00.009323, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.64 0.76 0.58 1/856 22986
Время:0:00:00.069292, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.64 0.76 0.58 3/856 22992
Время:0:00:00.138723, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.64 0.76 0.58 2/856 23020
Время:0:00:00.151997, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.64 0.76 0.58 1/856 23058
Время:0:00:00.006941, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.64 0.76 0.58 2/856 23062
Время:0:00:00.309556, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.64 0.76 0.58 1/856 23108
Время:0:00:00.016751, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.64 0.76 0.58 2/856 23114
Время:0:00:00.104281, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.64 0.76 0.58 2/856 23136
Время:0:00:00.097948, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.07 0.64 0.56 1/763 23318
Время:0:00:00.125923, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.07 0.64 0.56 2/763 23348
Время:0:00:00.012231, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.07 0.64 0.56 1/763 23352
Время:0:00:00.076511, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.07 0.64 0.56 1/763 23358
Время:0:00:00.122528, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.07 0.64 0.56 1/763 23386
Время:0:00:00.150366, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.07 0.64 0.56 2/763 23424
Время:0:00:00.008499, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.07 0.64 0.56 1/763 23428
Время:0:00:00.304123, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.07 0.64 0.56 1/763 23474
Время:0:00:00.012649, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.07 0.64 0.56 1/763 23480
